Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat Bytom,2013.0,140.0,121.0,4.0
powiat Bytom,2014.0,160.0,142.0,11.0
powiat Bytom,2015.0,178.0,149.0,8.0
powiat Bytom,2016.0,135.0,121.0,4.0
powiat Bytom,2017.0,123.0,109.0,4.0
powiat Bytom,2018.0,119.0,99.0,5.0
powiat Bytom,2019.0,91.0,79.0,4.0
powiat Bytom,2020.0,59.0,58.0,2.0
powiat Bytom,2021.0,81.0,73.0,6.0
powiat Bytom,2022.0,74.0,71.0,1.0
powiat złotoryjski,2011.0,16.0,17.0,3.0
powiat złotoryjski,2012.0,37.0,26.0,5.0
powiat złotoryjski,2013.0,31.0,30.0,3.0
powiat złotoryjski,2014.0,15.0,13.0,2.0
powiat złotoryjski,2015.0,11.0,10.0,2.0
powiat złotoryjski,2016.0,27.0,24.0,5.0
powiat złotoryjski,2017.0,19.0,17.0,5.0
powiat złotoryjski,2018.0,13.0,13.0,1.0
powiat złotoryjski,2019.0,19.0,20.0,6.0
powiat złotoryjski,2020.0,13.0,13.0,1.0
powiat złotoryjski,2021.0,14.0,15.0,1.0
powiat złotoryjski,2022.0,9.0,8.0,0.0
powiat wrocławski,2011.0,431.0,265.0,22.0
powiat wrocławski,2012.0,404.0,244.0,16.0
powiat wrocławski,2013.0,239.0,179.0,22.0
powiat wrocławski,2014.0,278.0,204.0,18.0
powiat wrocławski,2015.0,258.0,190.0,14.0
powiat wrocławski,2016.0,267.0,194.0,15.0
powiat wrocławski,2017.0,317.0,204.0,10.0
powiat wrocławski,2018.0,233.0,179.0,17.0
powiat wrocławski,2019.0,231.0,174.0,26.0
powiat wrocławski,2020.0,173.0,146.0,16.0
powiat wrocławski,2021.0,280.0,221.0,15.0
powiat wrocławski,2022.0,279.0,224.0,11.0
powiat milicki,2011.0,47.0,29.0,1.0
powiat milicki,2012.0,42.0,32.0,3.0
powiat milicki,2013.0,37.0,34.0,3.0
powiat milicki,2014.0,58.0,35.0,1.0
powiat milicki,2015.0,50.0,35.0,1.0
powiat milicki,2016.0,41.0,35.0,4.0
powiat milicki,2017.0,35.0,30.0,2.0
powiat milicki,2018.0,38.0,27.0,3.0
powiat milicki,2019.0,41.0,24.0,5.0
powiat milicki,2020.0,31.0,24.0,3.0
powiat milicki,2021.0,30.0,24.0,1.0
powiat milicki,2022.0,25.0,21.0,3.0
powiat lubiński,2011.0,92.0,76.0,16.0
powiat lubiński,2012.0,140.0,71.0,5.0
powiat lubiński,2013.0,89.0,70.0,11.0
powiat lubiński,2014.0,70.0,60.0,12.0
powiat lubiński,2015.0,84.0,66.0,10.0
powiat lubiński,2016.0,89.0,62.0,8.0
powiat lubiński,2017.0,77.0,59.0,6.0
powiat lubiński,2018.0,93.0,71.0,15.0
powiat lubiński,2019.0,71.0,53.0,11.0
powiat lubiński,2020.0,60.0,48.0,4.0
powiat lubiński,2021.0,48.0,39.0,8.0
powiat lubiński,2022.0,63.0,53.0,4.0
powiat lipnowski,2011.0,69.0,60.0,16.0
powiat lipnowski,2012.0,43.0,40.0,8.0
powiat lipnowski,2013.0,31.0,28.0,7.0
powiat lipnowski,2014.0,28.0,29.0,6.0
powiat lipnowski,2015.0,15.0,17.0,3.0
powiat lipnowski,2016.0,21.0,21.0,12.0
powiat lipnowski,2017.0,46.0,47.0,9.0
powiat lipnowski,2018.0,46.0,51.0,11.0
powiat lipnowski,2019.0,35.0,40.0,11.0
powiat lipnowski,2020.0,36.0,36.0,6.0
powiat lipnowski,2021.0,26.0,30.0,5.0
powiat lipnowski,2022.0,27.0,29.0,4.0
powiat żniński,2011.0,41.0,41.0,6.0
powiat żniński,2012.0,55.0,42.0,10.0
powiat żniński,2013.0,35.0,32.0,7.0
powiat żniński,2014.0,50.0,51.0,10.0
powiat żniński,2015.0,38.0,38.0,7.0
powiat żniński,2016.0,46.0,44.0,6.0
powiat żniński,2017.0,47.0,44.0,4.0
powiat żniński,2018.0,40.0,37.0,3.0
powiat żniński,2019.0,51.0,42.0,7.0
powiat żniński,2020.0,41.0,37.0,5.0
powiat żniński,2021.0,37.0,37.0,3.0
powiat żniński,2022.0,26.0,28.0,5.0
powiat radziejowski,2011.0,19.0,17.0,6.0
powiat radziejowski,2012.0,13.0,12.0,7.0
powiat radziejowski,2013.0,18.0,20.0,4.0
powiat radziejowski,2014.0,11.0,15.0,6.0
powiat radziejowski,2015.0,6.0,7.0,2.0
powiat radziejowski,2016.0,15.0,15.0,5.0
powiat radziejowski,2017.0,21.0,18.0,9.0
powiat radziejowski,2018.0,18.0,17.0,5.0
powiat radziejowski,2019.0,8.0,11.0,5.0
powiat radziejowski,2020.0,9.0,9.0,2.0
powiat radziejowski,2021.0,9.0,13.0,4.0
powiat radziejowski,2022.0,8.0,8.0,0.0
powiat nakielski,2011.0,60.0,45.0,18.0
powiat nakielski,2012.0,69.0,51.0,7.0
powiat nakielski,2013.0,62.0,57.0,12.0
powiat nakielski,2014.0,60.0,48.0,8.0
powiat nakielski,2015.0,69.0,59.0,5.0
powiat nakielski,2016.0,83.0,70.0,15.0
powiat nakielski,2017.0,102.0,76.0,10.0
powiat nakielski,2018.0,55.0,50.0,9.0
powiat nakielski,2019.0,66.0,52.0,7.0
powiat nakielski,2020.0,67.0,48.0,12.0
powiat nakielski,2021.0,53.0,36.0,3.0
powiat nakielski,2022.0,66.0,47.0,8.0
powiat bartoszycki,2011.0,60.0,48.0,7.0
powiat bartoszycki,2012.0,60.0,49.0,5.0
powiat bartoszycki,2013.0,44.0,49.0,8.0
powiat bartoszycki,2014.0,52.0,48.0,3.0
powiat bartoszycki,2015.0,47.0,47.0,13.0
powiat bartoszycki,2016.0,41.0,41.0,10.0
powiat bartoszycki,2017.0,47.0,41.0,4.0
powiat bartoszycki,2018.0,41.0,40.0,6.0
powiat bartoszycki,2019.0,43.0,40.0,2.0
powiat bartoszycki,2020.0,42.0,37.0,3.0
powiat bartoszycki,2021.0,30.0,31.0,2.0
powiat bartoszycki,2022.0,29.0,29.0,3.0
powiat żywiecki,2011.0,302.0,237.0,10.0
powiat żywiecki,2012.0,306.0,230.0,15.0
powiat żywiecki,2013.0,332.0,264.0,9.0
powiat żywiecki,2014.0,334.0,258.0,10.0
powiat żywiecki,2015.0,195.0,147.0,15.0
powiat żywiecki,2016.0,206.0,147.0,4.0
powiat żywiecki,2017.0,150.0,121.0,10.0
powiat żywiecki,2018.0,136.0,93.0,3.0
powiat żywiecki,2019.0,94.0,69.0,10.0
powiat żywiecki,2020.0,76.0,62.0,10.0
powiat żywiecki,2021.0,63.0,48.0,1.0
powiat żywiecki,2022.0,68.0,40.0,7.0
powiat sokólski,2011.0,82.0,61.0,13.0
powiat sokólski,2012.0,77.0,62.0,15.0
powiat sokólski,2013.0,53.0,50.0,16.0
powiat sokólski,2014.0,72.0,51.0,6.0
powiat sokólski,2015.0,38.0,30.0,7.0
powiat sokólski,2016.0,28.0,26.0,8.0
powiat sokólski,2017.0,51.0,37.0,7.0
powiat sokólski,2018.0,44.0,36.0,9.0
powiat sokólski,2019.0,41.0,31.0,8.0
powiat sokólski,2020.0,32.0,28.0,8.0
powiat sokólski,2021.0,49.0,34.0,7.0
powiat sokólski,2022.0,25.0,21.0,6.0
powiat jasielski,2011.0,69.0,60.0,5.0
powiat jasielski,2012.0,82.0,68.0,10.0
powiat jasielski,2013.0,101.0,76.0,3.0
powiat jasielski,2014.0,80.0,64.0,8.0
powiat jasielski,2015.0,99.0,79.0,6.0
powiat jasielski,2016.0,91.0,87.0,4.0
powiat jasielski,2017.0,67.0,60.0,2.0
powiat jasielski,2018.0,77.0,71.0,8.0
powiat jasielski,2019.0,76.0,70.0,7.0
powiat jasielski,2020.0,51.0,48.0,5.0
powiat jasielski,2021.0,54.0,51.0,2.0
powiat jasielski,2022.0,46.0,40.0,1.0
powiat głubczycki,2011.0,30.0,29.0,4.0
powiat głubczycki,2012.0,34.0,28.0,3.0
powiat głubczycki,2013.0,15.0,18.0,3.0
powiat głubczycki,2014.0,14.0,15.0,5.0
powiat głubczycki,2015.0,19.0,16.0,4.0
powiat głubczycki,2016.0,20.0,17.0,2.0
powiat głubczycki,2017.0,24.0,25.0,6.0
powiat głubczycki,2018.0,19.0,18.0,2.0
powiat głubczycki,2019.0,29.0,25.0,1.0
powiat głubczycki,2020.0,14.0,16.0,5.0
powiat głubczycki,2021.0,22.0,19.0,4.0
powiat głubczycki,2022.0,23.0,17.0,4.0
powiat nowosądecki,2011.0,387.0,306.0,24.0
powiat nowosądecki,2012.0,314.0,234.0,20.0
powiat nowosądecki,2013.0,345.0,265.0,25.0
powiat nowosądecki,2014.0,381.0,285.0,18.0
powiat nowosądecki,2015.0,396.0,281.0,12.0
powiat nowosądecki,2016.0,392.0,290.0,7.0
powiat nowosądecki,2017.0,341.0,245.0,13.0
powiat nowosądecki,2018.0,356.0,283.0,25.0
powiat nowosądecki,2019.0,385.0,281.0,16.0
powiat nowosądecki,2020.0,280.0,218.0,6.0
powiat nowosądecki,2021.0,302.0,229.0,24.0
powiat nowosądecki,2022.0,254.0,208.0,12.0
powiat Zielona Góra,2011.0,60.0,54.0,2.0
powiat Zielona Góra,2012.0,89.0,80.0,1.0
powiat Zielona Góra,2013.0,82.0,64.0,0.0
powiat Zielona Góra,2014.0,88.0,72.0,4.0
powiat Zielona Góra,2015.0,103.0,94.0,9.0
powiat Zielona Góra,2016.0,101.0,82.0,6.0
powiat Zielona Góra,2017.0,117.0,94.0,5.0
powiat Zielona Góra,2018.0,60.0,54.0,2.0
powiat Zielona Góra,2019.0,79.0,64.0,4.0
powiat Zielona Góra,2020.0,52.0,51.0,3.0
powiat Zielona Góra,2021.0,71.0,59.0,5.0
powiat Zielona Góra,2022.0,66.0,53.0,6.0
powiat Skierniewice,2011.0,27.0,27.0,5.0
powiat Skierniewice,2012.0,23.0,19.0,0.0
powiat Skierniewice,2013.0,29.0,23.0,1.0
powiat Skierniewice,2014.0,27.0,25.0,1.0
powiat Skierniewice,2015.0,36.0,33.0,1.0
powiat Skierniewice,2016.0,35.0,35.0,3.0
powiat Skierniewice,2017.0,47.0,44.0,2.0
powiat Skierniewice,2018.0,49.0,46.0,0.0
powiat Skierniewice,2019.0,40.0,35.0,4.0
powiat Skierniewice,2020.0,34.0,29.0,2.0
powiat Skierniewice,2021.0,28.0,29.0,2.0
powiat Skierniewice,2022.0,19.0,18.0,2.0
powiat żagański,2011.0,93.0,61.0,2.0
powiat żagański,2012.0,65.0,52.0,4.0
powiat żagański,2013.0,76.0,51.0,6.0
powiat żagański,2014.0,65.0,54.0,8.0
powiat żagański,2015.0,47.0,43.0,10.0
powiat żagański,2016.0,66.0,49.0,14.0
powiat żagański,2017.0,50.0,52.0,7.0
powiat żagański,2018.0,67.0,60.0,7.0
powiat żagański,2019.0,38.0,35.0,1.0
powiat żagański,2020.0,60.0,48.0,7.0
powiat żagański,2021.0,53.0,48.0,8.0
powiat żagański,2022.0,39.0,39.0,4.0
powiat Gdańsk,2011.0,777.0,626.0,25.0
powiat Gdańsk,2012.0,849.0,667.0,20.0
powiat Gdańsk,2013.0,717.0,580.0,18.0
powiat Gdańsk,2014.0,635.0,532.0,14.0
powiat Gdańsk,2015.0,603.0,505.0,13.0
powiat Gdańsk,2016.0,575.0,503.0,12.0
powiat Gdańsk,2017.0,616.0,521.0,13.0
powiat Gdańsk,2018.0,653.0,552.0,11.0
powiat Gdańsk,2019.0,554.0,462.0,11.0
powiat Gdańsk,2020.0,450.0,397.0,15.0
powiat Gdańsk,2021.0,417.0,383.0,9.0
powiat Gdańsk,2022.0,367.0,336.0,8.0
powiat lęborski,2011.0,91.0,59.0,5.0
powiat lęborski,2012.0,35.0,37.0,6.0
powiat lęborski,2013.0,33.0,34.0,4.0
powiat lęborski,2014.0,34.0,36.0,7.0
powiat lęborski,2015.0,41.0,36.0,8.0
powiat lęborski,2016.0,27.0,25.0,3.0
powiat lęborski,2017.0,27.0,28.0,4.0
powiat lęborski,2018.0,25.0,22.0,4.0
powiat lęborski,2019.0,29.0,27.0,6.0
powiat lęborski,2020.0,29.0,28.0,4.0
powiat lęborski,2021.0,34.0,33.0,4.0
powiat lęborski,2022.0,42.0,32.0,7.0
powiat Łódź,2011.0,2195.0,1826.0,38.0
powiat Łódź,2012.0,2011.0,1668.0,33.0
powiat Łódź,2013.0,2125.0,1716.0,31.0
powiat Łódź,2014.0,2207.0,1791.0,42.0
powiat Łódź,2015.0,2046.0,1715.0,19.0
powiat Łódź,2016.0,2140.0,1714.0,17.0
powiat Łódź,2017.0,2009.0,1613.0,22.0
powiat Łódź,2018.0,1897.0,1570.0,18.0
powiat Łódź,2019.0,1592.0,1376.0,23.0
powiat Łódź,2020.0,1041.0,918.0,23.0
powiat Łódź,2021.0,1079.0,915.0,15.0
powiat Łódź,2022.0,1083.0,920.0,12.0
powiat piotrkowski,2011.0,175.0,138.0,24.0
powiat piotrkowski,2012.0,148.0,108.0,16.0
powiat piotrkowski,2013.0,117.0,96.0,24.0
powiat piotrkowski,2014.0,144.0,104.0,13.0
powiat piotrkowski,2015.0,179.0,135.0,22.0
powiat piotrkowski,2016.0,310.0,221.0,24.0
powiat piotrkowski,2017.0,289.0,194.0,18.0
powiat piotrkowski,2018.0,276.0,186.0,24.0
powiat piotrkowski,2019.0,272.0,192.0,26.0
powiat piotrkowski,2020.0,169.0,131.0,23.0
powiat piotrkowski,2021.0,162.0,120.0,15.0
powiat piotrkowski,2022.0,111.0,88.0,16.0
powiat ostrowski,2011.0,112.0,97.0,16.0
powiat ostrowski,2011.0,174.0,140.0,23.0
powiat ostrowski,2012.0,99.0,90.0,20.0
powiat ostrowski,2012.0,176.0,136.0,18.0
powiat ostrowski,2013.0,70.0,66.0,7.0
powiat ostrowski,2013.0,196.0,145.0,12.0
powiat ostrowski,2014.0,82.0,73.0,17.0
powiat ostrowski,2014.0,149.0,116.0,11.0
powiat ostrowski,2015.0,61.0,54.0,11.0
powiat ostrowski,2015.0,94.0,88.0,14.0
powiat ostrowski,2016.0,85.0,88.0,29.0
powiat ostrowski,2016.0,90.0,83.0,10.0
powiat ostrowski,2017.0,63.0,58.0,11.0
powiat ostrowski,2017.0,87.0,81.0,16.0
powiat ostrowski,2018.0,52.0,53.0,17.0
powiat ostrowski,2018.0,129.0,106.0,12.0
powiat ostrowski,2019.0,45.0,49.0,17.0
powiat ostrowski,2019.0,342.0,280.0,17.0
powiat ostrowski,2020.0,42.0,46.0,14.0
powiat ostrowski,2020.0,193.0,156.0,13.0
powiat ostrowski,2021.0,55.0,49.0,9.0
powiat ostrowski,2021.0,177.0,149.0,10.0
powiat ostrowski,2022.0,58.0,46.0,11.0
powiat ostrowski,2022.0,164.0,135.0,6.0
powiat starogardzki,2011.0,238.0,192.0,14.0
powiat starogardzki,2012.0,241.0,188.0,13.0
powiat starogardzki,2013.0,219.0,179.0,8.0
powiat starogardzki,2014.0,245.0,194.0,6.0
powiat starogardzki,2015.0,227.0,182.0,14.0
powiat starogardzki,2016.0,187.0,168.0,11.0
powiat starogardzki,2017.0,186.0,141.0,5.0
powiat starogardzki,2018.0,183.0,143.0,7.0
powiat starogardzki,2019.0,162.0,136.0,14.0
powiat starogardzki,2020.0,112.0,92.0,9.0
powiat starogardzki,2021.0,103.0,78.0,9.0
powiat starogardzki,2022.0,86.0,71.0,7.0
powiat Poznań,2011.0,558.0,480.0,26.0
powiat Poznań,2012.0,406.0,378.0,21.0
powiat Poznań,2013.0,393.0,352.0,20.0
powiat Poznań,2014.0,339.0,298.0,16.0
powiat Poznań,2015.0,330.0,306.0,14.0
powiat Poznań,2016.0,521.0,429.0,12.0
powiat Poznań,2017.0,1049.0,896.0,20.0
powiat Poznań,2018.0,1001.0,866.0,26.0
powiat Poznań,2019.0,1064.0,940.0,15.0
powiat Poznań,2020.0,707.0,624.0,16.0
powiat Poznań,2021.0,548.0,477.0,14.0
powiat Poznań,2022.0,629.0,555.0,17.0
powiat Konin,2011.0,100.0,84.0,4.0
powiat Konin,2012.0,81.0,73.0,7.0
powiat Konin,2013.0,111.0,92.0,4.0
powiat Konin,2014.0,86.0,77.0,6.0
powiat Konin,2015.0,76.0,65.0,4.0
powiat Konin,2016.0,68.0,58.0,2.0
powiat Konin,2017.0,51.0,41.0,4.0
powiat Konin,2018.0,68.0,64.0,3.0
powiat Konin,2019.0,132.0,117.0,4.0
powiat Konin,2020.0,95.0,89.0,3.0
powiat Konin,2021.0,102.0,89.0,2.0
powiat Konin,2022.0,80.0,65.0,5.0
powiat stalowowolski,2011.0,94.0,83.0,12.0
powiat stalowowolski,2012.0,81.0,68.0,10.0
powiat stalowowolski,2013.0,77.0,74.0,5.0
powiat stalowowolski,2014.0,150.0,104.0,3.0
powiat stalowowolski,2015.0,110.0,94.0,11.0
powiat stalowowolski,2016.0,104.0,100.0,9.0
powiat stalowowolski,2017.0,142.0,119.0,10.0
powiat stalowowolski,2018.0,106.0,97.0,8.0
powiat stalowowolski,2019.0,95.0,82.0,6.0
powiat stalowowolski,2020.0,78.0,68.0,8.0
powiat stalowowolski,2021.0,90.0,79.0,8.0
powiat stalowowolski,2022.0,73.0,69.0,4.0
powiat Tarnobrzeg,2011.0,39.0,28.0,2.0
powiat Tarnobrzeg,2012.0,18.0,17.0,1.0
powiat Tarnobrzeg,2013.0,29.0,26.0,2.0
powiat Tarnobrzeg,2014.0,42.0,28.0,1.0
powiat Tarnobrzeg,2015.0,42.0,32.0,3.0
powiat Tarnobrzeg,2016.0,38.0,32.0,1.0
powiat Tarnobrzeg,2017.0,58.0,44.0,3.0
powiat Tarnobrzeg,2018.0,79.0,63.0,4.0
powiat Tarnobrzeg,2019.0,71.0,52.0,5.0
powiat Tarnobrzeg,2020.0,43.0,40.0,3.0
powiat Tarnobrzeg,2021.0,53.0,40.0,1.0
powiat Tarnobrzeg,2022.0,40.0,33.0,2.0
powiat płoński,2011.0,125.0,103.0,23.0
powiat płoński,2012.0,133.0,107.0,32.0
powiat płoński,2013.0,146.0,102.0,21.0
powiat płoński,2014.0,114.0,87.0,27.0
powiat płoński,2015.0,103.0,83.0,17.0
powiat płoński,2016.0,117.0,72.0,19.0
powiat płoński,2017.0,60.0,54.0,12.0
powiat płoński,2018.0,55.0,54.0,21.0
powiat płoński,2019.0,55.0,56.0,14.0
powiat płoński,2020.0,63.0,64.0,24.0
powiat płoński,2021.0,84.0,66.0,8.0
powiat płoński,2022.0,40.0,41.0,11.0
powiat mławski,2011.0,141.0,98.0,12.0
powiat mławski,2012.0,96.0,82.0,18.0
powiat mławski,2013.0,116.0,84.0,12.0
powiat mławski,2014.0,107.0,70.0,15.0
powiat mławski,2015.0,64.0,65.0,24.0
powiat mławski,2016.0,52.0,47.0,9.0
powiat mławski,2017.0,49.0,43.0,13.0
powiat mławski,2018.0,44.0,42.0,10.0
powiat mławski,2019.0,24.0,32.0,11.0
powiat mławski,2020.0,39.0,37.0,11.0
powiat mławski,2021.0,36.0,30.0,4.0
powiat mławski,2022.0,29.0,29.0,2.0
powiat siedlecki,2011.0,75.0,62.0,19.0
powiat siedlecki,2012.0,81.0,65.0,19.0
powiat siedlecki,2013.0,71.0,57.0,16.0
powiat siedlecki,2014.0,65.0,48.0,14.0
powiat siedlecki,2015.0,70.0,52.0,14.0
powiat siedlecki,2016.0,58.0,51.0,11.0
powiat siedlecki,2017.0,85.0,76.0,15.0
powiat siedlecki,2018.0,117.0,76.0,8.0
powiat siedlecki,2019.0,118.0,84.0,16.0
powiat siedlecki,2020.0,72.0,56.0,9.0
powiat siedlecki,2021.0,119.0,97.0,16.0
powiat siedlecki,2022.0,96.0,71.0,8.0
powiat garwoliński,2011.0,160.0,130.0,23.0
powiat garwoliński,2012.0,133.0,101.0,24.0
powiat garwoliński,2013.0,135.0,106.0,13.0
powiat garwoliński,2014.0,137.0,104.0,15.0
powiat garwoliński,2015.0,155.0,86.0,21.0
powiat garwoliński,2016.0,149.0,115.0,17.0
powiat garwoliński,2017.0,181.0,127.0,13.0
powiat garwoliński,2018.0,153.0,114.0,11.0
powiat garwoliński,2019.0,154.0,128.0,15.0
powiat garwoliński,2020.0,104.0,89.0,9.0
powiat garwoliński,2021.0,93.0,73.0,8.0
powiat garwoliński,2022.0,102.0,74.0,8.0
powiat lipski,2011.0,28.0,26.0,9.0
powiat lipski,2012.0,54.0,40.0,11.0
powiat lipski,2013.0,41.0,34.0,5.0
powiat lipski,2014.0,28.0,29.0,7.0
powiat lipski,2015.0,13.0,13.0,2.0
powiat lipski,2016.0,52.0,36.0,7.0
powiat lipski,2017.0,39.0,40.0,11.0
powiat lipski,2018.0,49.0,45.0,3.0
powiat lipski,2019.0,66.0,52.0,7.0
powiat lipski,2020.0,43.0,38.0,7.0
powiat lipski,2021.0,45.0,40.0,7.0
powiat lipski,2022.0,53.0,45.0,6.0
powiat hrubieszowski,2011.0,61.0,42.0,6.0
powiat hrubieszowski,2012.0,55.0,39.0,2.0
powiat hrubieszowski,2013.0,28.0,31.0,7.0
powiat hrubieszowski,2014.0,45.0,41.0,7.0
powiat hrubieszowski,2015.0,20.0,18.0,1.0
powiat hrubieszowski,2016.0,43.0,30.0,2.0
powiat hrubieszowski,2017.0,26.0,19.0,3.0
powiat hrubieszowski,2018.0,26.0,25.0,3.0
powiat hrubieszowski,2019.0,21.0,19.0,3.0
powiat hrubieszowski,2020.0,11.0,12.0,3.0
powiat hrubieszowski,2021.0,12.0,15.0,6.0
powiat hrubieszowski,2022.0,19.0,19.0,4.0
powiat kraśnicki,2011.0,170.0,121.0,11.0
powiat kraśnicki,2012.0,114.0,94.0,9.0
powiat kraśnicki,2013.0,129.0,96.0,14.0
powiat kraśnicki,2014.0,94.0,77.0,7.0
powiat kraśnicki,2015.0,102.0,69.0,9.0
powiat kraśnicki,2016.0,88.0,72.0,6.0
powiat kraśnicki,2017.0,61.0,66.0,12.0
powiat kraśnicki,2018.0,63.0,62.0,10.0
powiat kraśnicki,2019.0,69.0,64.0,7.0
powiat kraśnicki,2020.0,66.0,65.0,14.0
powiat kraśnicki,2021.0,52.0,39.0,4.0
powiat kraśnicki,2022.0,31.0,27.0,5.0
powiat łęczyński,2011.0,31.0,32.0,8.0
powiat łęczyński,2012.0,45.0,47.0,7.0
powiat łęczyński,2013.0,44.0,41.0,5.0
powiat łęczyński,2014.0,58.0,39.0,16.0
powiat łęczyński,2015.0,48.0,41.0,9.0
powiat łęczyński,2016.0,40.0,30.0,5.0
powiat łęczyński,2017.0,34.0,29.0,6.0
powiat łęczyński,2018.0,33.0,32.0,6.0
powiat łęczyński,2019.0,33.0,28.0,3.0
powiat łęczyński,2020.0,21.0,25.0,5.0
powiat łęczyński,2021.0,25.0,23.0,4.0
powiat łęczyński,2022.0,28.0,23.0,2.0
powiat opolski,2011.0,43.0,38.0,13.0
powiat opolski,2011.0,275.0,205.0,24.0
powiat opolski,2012.0,22.0,26.0,8.0
powiat opolski,2012.0,272.0,196.0,11.0
powiat opolski,2013.0,48.0,41.0,3.0
powiat opolski,2013.0,266.0,198.0,26.0
powiat opolski,2014.0,59.0,45.0,1.0
powiat opolski,2014.0,217.0,161.0,16.0
powiat opolski,2015.0,51.0,39.0,4.0
powiat opolski,2015.0,196.0,156.0,23.0
powiat opolski,2016.0,43.0,38.0,9.0
powiat opolski,2016.0,212.0,174.0,17.0
powiat opolski,2017.0,32.0,33.0,5.0
powiat opolski,2017.0,239.0,161.0,14.0
powiat opolski,2018.0,34.0,32.0,6.0
powiat opolski,2018.0,148.0,119.0,7.0
powiat opolski,2019.0,29.0,24.0,3.0
powiat opolski,2019.0,125.0,99.0,13.0
powiat opolski,2020.0,17.0,17.0,4.0
powiat opolski,2020.0,125.0,96.0,16.0
powiat opolski,2021.0,14.0,17.0,4.0
powiat opolski,2021.0,133.0,110.0,14.0
powiat opolski,2022.0,24.0,20.0,2.0
powiat opolski,2022.0,113.0,80.0,8.0
powiat rycki,2011.0,87.0,72.0,12.0
powiat rycki,2012.0,90.0,71.0,12.0
powiat rycki,2013.0,73.0,58.0,4.0
powiat rycki,2014.0,72.0,52.0,5.0
powiat rycki,2015.0,71.0,59.0,8.0
powiat rycki,2016.0,93.0,66.0,5.0
powiat rycki,2017.0,50.0,48.0,7.0
powiat rycki,2018.0,61.0,50.0,6.0
powiat rycki,2019.0,73.0,60.0,12.0
powiat rycki,2020.0,45.0,40.0,5.0
powiat rycki,2021.0,41.0,38.0,4.0
powiat rycki,2022.0,25.0,25.0,3.0
powiat Zamość,2011.0,49.0,46.0,2.0
powiat Zamość,2012.0,43.0,36.0,1.0
powiat Zamość,2013.0,28.0,20.0,2.0
powiat Zamość,2014.0,34.0,29.0,1.0
powiat Zamość,2015.0,32.0,30.0,0.0
powiat Zamość,2016.0,24.0,26.0,3.0
powiat Zamość,2017.0,25.0,24.0,1.0
powiat Zamość,2018.0,17.0,18.0,1.0
powiat Zamość,2019.0,18.0,19.0,1.0
powiat Zamość,2020.0,25.0,26.0,1.0
powiat Zamość,2021.0,17.0,15.0,0.0
powiat Zamość,2022.0,21.0,22.0,1.0
powiat dąbrowski,2011.0,89.0,68.0,4.0
powiat dąbrowski,2012.0,107.0,79.0,5.0
powiat dąbrowski,2013.0,98.0,87.0,5.0
powiat dąbrowski,2014.0,85.0,75.0,7.0
powiat dąbrowski,2015.0,82.0,68.0,0.0
powiat dąbrowski,2016.0,85.0,64.0,3.0
powiat dąbrowski,2017.0,65.0,59.0,7.0
powiat dąbrowski,2018.0,69.0,59.0,3.0
powiat dąbrowski,2019.0,29.0,28.0,2.0
powiat dąbrowski,2020.0,43.0,38.0,4.0
powiat dąbrowski,2021.0,47.0,37.0,1.0
powiat dąbrowski,2022.0,40.0,31.0,3.0
powiat krakowski,2011.0,451.0,355.0,34.0
powiat krakowski,2012.0,364.0,300.0,30.0
powiat krakowski,2013.0,372.0,305.0,22.0
powiat krakowski,2014.0,420.0,343.0,18.0
powiat krakowski,2015.0,318.0,256.0,10.0
powiat krakowski,2016.0,321.0,266.0,16.0
powiat krakowski,2017.0,293.0,234.0,15.0
powiat krakowski,2018.0,241.0,210.0,24.0
powiat krakowski,2019.0,214.0,183.0,21.0
powiat krakowski,2020.0,142.0,128.0,19.0
powiat krakowski,2021.0,92.0,82.0,10.0
powiat krakowski,2022.0,96.0,74.0,13.0
powiat wieruszowski,2011.0,57.0,42.0,4.0
powiat wieruszowski,2012.0,63.0,42.0,2.0
powiat wieruszowski,2013.0,45.0,36.0,7.0
powiat wieruszowski,2014.0,49.0,39.0,4.0
powiat wieruszowski,2015.0,58.0,42.0,6.0
powiat wieruszowski,2016.0,45.0,40.0,6.0
powiat wieruszowski,2017.0,32.0,33.0,10.0
powiat wieruszowski,2018.0,31.0,21.0,4.0
powiat wieruszowski,2019.0,25.0,23.0,4.0
powiat wieruszowski,2020.0,17.0,17.0,7.0
powiat wieruszowski,2021.0,21.0,16.0,4.0
powiat wieruszowski,2022.0,20.0,18.0,2.0
powiat żarski,2011.0,83.0,67.0,9.0
powiat żarski,2012.0,83.0,59.0,11.0
powiat żarski,2013.0,77.0,62.0,6.0
powiat żarski,2014.0,96.0,70.0,5.0
powiat żarski,2015.0,86.0,67.0,6.0
powiat żarski,2016.0,61.0,50.0,3.0
powiat żarski,2017.0,61.0,54.0,8.0
powiat żarski,2018.0,87.0,70.0,11.0
powiat żarski,2019.0,68.0,66.0,11.0
powiat żarski,2020.0,36.0,33.0,3.0
powiat żarski,2021.0,40.0,38.0,7.0
powiat żarski,2022.0,54.0,45.0,4.0
powiat dębicki,2011.0,239.0,192.0,17.0
powiat dębicki,2012.0,220.0,166.0,12.0
powiat dębicki,2013.0,301.0,216.0,12.0
powiat dębicki,2014.0,161.0,130.0,16.0
