Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat grodziski,2022.0,15.0,16.0,4.0
powiat łukowski,2011.0,171.0,120.0,15.0
powiat łukowski,2012.0,104.0,95.0,25.0
powiat łukowski,2013.0,89.0,72.0,23.0
powiat łukowski,2014.0,109.0,77.0,9.0
powiat łukowski,2015.0,99.0,74.0,8.0
powiat łukowski,2016.0,77.0,74.0,13.0
powiat łukowski,2017.0,78.0,63.0,11.0
powiat łukowski,2018.0,51.0,60.0,14.0
powiat łukowski,2019.0,72.0,76.0,13.0
powiat łukowski,2020.0,42.0,54.0,14.0
powiat łukowski,2021.0,39.0,44.0,9.0
powiat łukowski,2022.0,39.0,44.0,11.0
powiat tomaszowski,2011.0,148.0,116.0,6.0
powiat tomaszowski,2011.0,266.0,208.0,18.0
powiat tomaszowski,2012.0,111.0,90.0,10.0
powiat tomaszowski,2012.0,199.0,155.0,21.0
powiat tomaszowski,2013.0,90.0,71.0,9.0
powiat tomaszowski,2013.0,150.0,108.0,14.0
powiat tomaszowski,2014.0,78.0,62.0,3.0
powiat tomaszowski,2014.0,124.0,109.0,12.0
powiat tomaszowski,2015.0,56.0,48.0,10.0
powiat tomaszowski,2015.0,238.0,196.0,11.0
powiat tomaszowski,2016.0,54.0,46.0,3.0
powiat tomaszowski,2016.0,240.0,201.0,8.0
powiat tomaszowski,2017.0,48.0,49.0,6.0
powiat tomaszowski,2017.0,204.0,175.0,13.0
powiat tomaszowski,2018.0,49.0,40.0,7.0
powiat tomaszowski,2018.0,267.0,227.0,22.0
powiat tomaszowski,2019.0,36.0,36.0,4.0
powiat tomaszowski,2019.0,261.0,224.0,11.0
powiat tomaszowski,2020.0,24.0,24.0,7.0
powiat tomaszowski,2020.0,195.0,171.0,7.0
powiat tomaszowski,2021.0,29.0,26.0,5.0
powiat tomaszowski,2021.0,182.0,158.0,4.0
powiat tomaszowski,2022.0,29.0,29.0,8.0
powiat tomaszowski,2022.0,135.0,115.0,6.0
powiat Chełm,2011.0,33.0,36.0,6.0
powiat Chełm,2012.0,27.0,28.0,1.0
powiat Chełm,2013.0,19.0,21.0,4.0
powiat Chełm,2014.0,26.0,27.0,2.0
powiat Chełm,2015.0,29.0,29.0,1.0
powiat Chełm,2016.0,18.0,18.0,2.0
powiat Chełm,2017.0,23.0,25.0,3.0
powiat Chełm,2018.0,23.0,22.0,0.0
powiat Chełm,2019.0,24.0,20.0,0.0
powiat Chełm,2020.0,24.0,23.0,0.0
powiat Chełm,2021.0,24.0,19.0,0.0
powiat Chełm,2022.0,25.0,26.0,3.0
powiat brzeski,2011.0,223.0,184.0,14.0
powiat brzeski,2011.0,81.0,62.0,11.0
powiat brzeski,2012.0,233.0,177.0,11.0
powiat brzeski,2012.0,67.0,52.0,4.0
powiat brzeski,2013.0,219.0,150.0,12.0
powiat brzeski,2013.0,63.0,51.0,10.0
powiat brzeski,2014.0,195.0,144.0,11.0
powiat brzeski,2014.0,64.0,51.0,7.0
powiat brzeski,2015.0,171.0,131.0,12.0
powiat brzeski,2015.0,63.0,45.0,6.0
powiat brzeski,2016.0,205.0,166.0,6.0
powiat brzeski,2016.0,50.0,48.0,8.0
powiat brzeski,2017.0,153.0,127.0,18.0
powiat brzeski,2017.0,56.0,43.0,3.0
powiat brzeski,2018.0,140.0,118.0,8.0
powiat brzeski,2018.0,48.0,40.0,2.0
powiat brzeski,2019.0,138.0,111.0,3.0
powiat brzeski,2019.0,44.0,46.0,13.0
powiat brzeski,2020.0,90.0,77.0,2.0
powiat brzeski,2020.0,42.0,39.0,6.0
powiat brzeski,2021.0,61.0,53.0,6.0
powiat brzeski,2021.0,38.0,41.0,14.0
powiat brzeski,2022.0,95.0,73.0,5.0
powiat brzeski,2022.0,31.0,30.0,7.0
powiat Kraków,2011.0,1391.0,1229.0,43.0
powiat Kraków,2012.0,1339.0,1170.0,27.0
powiat Kraków,2013.0,1210.0,1082.0,12.0
powiat Kraków,2014.0,1293.0,1147.0,15.0
powiat Kraków,2015.0,1280.0,1157.0,17.0
powiat Kraków,2016.0,1320.0,1179.0,16.0
powiat Kraków,2017.0,1131.0,1035.0,18.0
powiat Kraków,2018.0,1045.0,969.0,26.0
powiat Kraków,2019.0,967.0,886.0,14.0
powiat Kraków,2020.0,611.0,567.0,16.0
powiat Kraków,2021.0,779.0,745.0,12.0
powiat Kraków,2022.0,821.0,778.0,5.0
powiat zgierski,2011.0,315.0,231.0,23.0
powiat zgierski,2012.0,282.0,228.0,28.0
powiat zgierski,2013.0,242.0,197.0,19.0
powiat zgierski,2014.0,216.0,187.0,17.0
powiat zgierski,2015.0,204.0,174.0,17.0
powiat zgierski,2016.0,197.0,165.0,15.0
powiat zgierski,2017.0,189.0,163.0,15.0
powiat zgierski,2018.0,220.0,169.0,8.0
powiat zgierski,2019.0,206.0,167.0,19.0
powiat zgierski,2020.0,154.0,134.0,16.0
powiat zgierski,2021.0,154.0,128.0,13.0
powiat zgierski,2022.0,170.0,146.0,20.0
powiat sulęciński,2011.0,67.0,56.0,6.0
powiat sulęciński,2012.0,83.0,49.0,3.0
powiat sulęciński,2013.0,45.0,39.0,6.0
powiat sulęciński,2014.0,47.0,44.0,4.0
powiat sulęciński,2015.0,41.0,37.0,7.0
powiat sulęciński,2016.0,46.0,34.0,6.0
powiat sulęciński,2017.0,39.0,30.0,2.0
powiat sulęciński,2018.0,32.0,29.0,6.0
powiat sulęciński,2019.0,39.0,31.0,3.0
powiat sulęciński,2020.0,34.0,30.0,4.0
powiat sulęciński,2021.0,30.0,22.0,1.0
powiat sulęciński,2022.0,16.0,17.0,4.0
powiat łańcucki,2011.0,70.0,65.0,10.0
powiat łańcucki,2012.0,59.0,62.0,9.0
powiat łańcucki,2013.0,76.0,69.0,8.0
powiat łańcucki,2014.0,69.0,57.0,4.0
powiat łańcucki,2015.0,59.0,52.0,1.0
powiat łańcucki,2016.0,70.0,67.0,8.0
powiat łańcucki,2017.0,46.0,43.0,7.0
powiat łańcucki,2018.0,54.0,44.0,2.0
powiat łańcucki,2019.0,45.0,41.0,6.0
powiat łańcucki,2020.0,47.0,38.0,0.0
powiat łańcucki,2021.0,55.0,46.0,4.0
powiat łańcucki,2022.0,63.0,38.0,0.0
powiat ostrzeszowski,2011.0,77.0,63.0,12.0
powiat ostrzeszowski,2012.0,52.0,49.0,9.0
powiat ostrzeszowski,2013.0,47.0,43.0,5.0
powiat ostrzeszowski,2014.0,63.0,52.0,11.0
