Województwa,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
warmińsko-mazurskie,2018.0,1506.0,1281.0,140.0
warmińsko-mazurskie,2019.0,1486.0,1218.0,103.0
warmińsko-mazurskie,2020.0,1186.0,1040.0,115.0
warmińsko-mazurskie,2021.0,1074.0,920.0,96.0
warmińsko-mazurskie,2022.0,928.0,830.0,84.0
łódzkie,2011.0,5231.0,4270.0,324.0
łódzkie,2012.0,4845.0,3905.0,296.0
łódzkie,2013.0,4733.0,3830.0,263.0
łódzkie,2014.0,4807.0,3986.0,256.0
łódzkie,2015.0,4826.0,3991.0,236.0
łódzkie,2016.0,5298.0,4222.0,214.0
łódzkie,2017.0,4750.0,3787.0,219.0
łódzkie,2018.0,4600.0,3759.0,229.0
łódzkie,2019.0,4047.0,3351.0,239.0
łódzkie,2020.0,2763.0,2436.0,221.0
łódzkie,2021.0,2763.0,2306.0,191.0
łódzkie,2022.0,2633.0,2209.0,164.0
mazowieckie,2011.0,6160.0,5128.0,714.0
mazowieckie,2012.0,5354.0,4490.0,587.0
mazowieckie,2013.0,5511.0,4579.0,562.0
mazowieckie,2014.0,5211.0,4385.0,518.0
mazowieckie,2015.0,4747.0,4006.0,487.0
mazowieckie,2016.0,4878.0,4078.0,508.0
mazowieckie,2017.0,4754.0,4048.0,464.0
mazowieckie,2018.0,4682.0,4034.0,448.0
mazowieckie,2019.0,4391.0,3802.0,469.0
mazowieckie,2020.0,3295.0,2960.0,420.0
mazowieckie,2021.0,3561.0,3086.0,375.0
mazowieckie,2022.0,3398.0,2896.0,289.0
lubelskie,2011.0,2250.0,1797.0,252.0
lubelskie,2012.0,1877.0,1625.0,243.0
lubelskie,2013.0,1795.0,1497.0,250.0
lubelskie,2014.0,1667.0,1408.0,195.0
lubelskie,2015.0,1436.0,1252.0,188.0
lubelskie,2016.0,1484.0,1262.0,178.0
lubelskie,2017.0,1432.0,1242.0,157.0
lubelskie,2018.0,1286.0,1216.0,179.0
lubelskie,2019.0,1233.0,1139.0,170.0
lubelskie,2020.0,947.0,931.0,156.0
lubelskie,2021.0,966.0,892.0,135.0
lubelskie,2022.0,815.0,785.0,121.0
lubuskie,2011.0,1087.0,823.0,122.0
lubuskie,2012.0,1086.0,803.0,99.0
lubuskie,2013.0,1019.0,747.0,94.0
lubuskie,2014.0,957.0,717.0,81.0
lubuskie,2015.0,786.0,639.0,92.0
lubuskie,2016.0,878.0,684.0,113.0
lubuskie,2017.0,855.0,682.0,84.0
lubuskie,2018.0,790.0,663.0,79.0
lubuskie,2019.0,775.0,660.0,92.0
lubuskie,2020.0,677.0,607.0,76.0
lubuskie,2021.0,648.0,540.0,71.0
lubuskie,2022.0,580.0,499.0,63.0
