Województwa,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
śląskie,2011.0,6129.0,5041.0,347.0
śląskie,2012.0,5717.0,4683.0,336.0
śląskie,2013.0,5506.0,4529.0,267.0
śląskie,2014.0,5324.0,4360.0,249.0
śląskie,2015.0,4584.0,3792.0,255.0
śląskie,2016.0,4347.0,3650.0,257.0
śląskie,2017.0,4307.0,3502.0,246.0
śląskie,2018.0,3783.0,3222.0,219.0
śląskie,2019.0,3561.0,2965.0,199.0
śląskie,2020.0,2715.0,2383.0,189.0
śląskie,2021.0,2576.0,2203.0,148.0
śląskie,2022.0,2263.0,1984.0,155.0
opolskie,2011.0,1000.0,836.0,100.0
opolskie,2012.0,977.0,797.0,81.0
opolskie,2013.0,923.0,791.0,97.0
opolskie,2014.0,857.0,738.0,104.0
opolskie,2015.0,808.0,710.0,102.0
opolskie,2016.0,859.0,754.0,99.0
opolskie,2017.0,849.0,700.0,78.0
opolskie,2018.0,787.0,705.0,81.0
opolskie,2019.0,703.0,614.0,73.0
opolskie,2020.0,538.0,488.0,65.0
opolskie,2021.0,593.0,537.0,81.0
opolskie,2022.0,513.0,438.0,64.0
wielkopolskie,2011.0,3664.0,2997.0,405.0
wielkopolskie,2012.0,3090.0,2569.0,315.0
wielkopolskie,2013.0,3126.0,2633.0,289.0
wielkopolskie,2014.0,2808.0,2392.0,268.0
wielkopolskie,2015.0,2523.0,2196.0,245.0
wielkopolskie,2016.0,2683.0,2316.0,249.0
wielkopolskie,2017.0,3594.0,3122.0,294.0
wielkopolskie,2018.0,3766.0,3232.0,261.0
wielkopolskie,2019.0,4566.0,3894.0,279.0
wielkopolskie,2020.0,3234.0,2822.0,217.0
wielkopolskie,2021.0,2769.0,2409.0,230.0
wielkopolskie,2022.0,2617.0,2299.0,214.0
zachodniopomorskie,2011.0,1885.0,1544.0,170.0
zachodniopomorskie,2012.0,1744.0,1407.0,131.0
zachodniopomorskie,2013.0,1812.0,1503.0,155.0
zachodniopomorskie,2014.0,1717.0,1418.0,147.0
zachodniopomorskie,2015.0,1470.0,1298.0,125.0
zachodniopomorskie,2016.0,1608.0,1332.0,149.0
zachodniopomorskie,2017.0,1435.0,1232.0,120.0
zachodniopomorskie,2018.0,1357.0,1182.0,129.0
zachodniopomorskie,2019.0,1406.0,1221.0,129.0
zachodniopomorskie,2020.0,1012.0,927.0,101.0
zachodniopomorskie,2021.0,1093.0,946.0,95.0
zachodniopomorskie,2022.0,993.0,881.0,75.0
świętokrzyskie,2011.0,1861.0,1520.0,179.0
świętokrzyskie,2012.0,1712.0,1393.0,136.0
świętokrzyskie,2013.0,1727.0,1399.0,143.0
świętokrzyskie,2014.0,1621.0,1308.0,130.0
świętokrzyskie,2015.0,1676.0,1353.0,108.0
świętokrzyskie,2016.0,1724.0,1365.0,107.0
świętokrzyskie,2017.0,1529.0,1235.0,115.0
świętokrzyskie,2018.0,1450.0,1201.0,127.0
świętokrzyskie,2019.0,1241.0,1056.0,131.0
świętokrzyskie,2020.0,953.0,831.0,96.0
świętokrzyskie,2021.0,913.0,780.0,86.0
świętokrzyskie,2022.0,761.0,649.0,67.0
kujawsko-pomorskie,2011.0,1465.0,1336.0,233.0
kujawsko-pomorskie,2012.0,1484.0,1318.0,222.0
kujawsko-pomorskie,2013.0,1365.0,1182.0,179.0
kujawsko-pomorskie,2014.0,1112.0,1044.0,179.0
kujawsko-pomorskie,2015.0,1135.0,1008.0,153.0
kujawsko-pomorskie,2016.0,1101.0,1018.0,178.0
kujawsko-pomorskie,2017.0,1080.0,949.0,151.0
kujawsko-pomorskie,2018.0,1031.0,970.0,171.0
kujawsko-pomorskie,2019.0,974.0,940.0,211.0
kujawsko-pomorskie,2020.0,859.0,827.0,134.0
kujawsko-pomorskie,2021.0,866.0,797.0,122.0
kujawsko-pomorskie,2022.0,857.0,770.0,103.0
podlaskie,2011.0,1008.0,818.0,152.0
podlaskie,2012.0,970.0,767.0,131.0
podlaskie,2013.0,874.0,738.0,135.0
podlaskie,2014.0,793.0,692.0,126.0
podlaskie,2015.0,864.0,690.0,118.0
podlaskie,2016.0,834.0,686.0,120.0
podlaskie,2017.0,802.0,693.0,114.0
podlaskie,2018.0,771.0,672.0,102.0
podlaskie,2019.0,620.0,585.0,106.0
podlaskie,2020.0,451.0,430.0,78.0
podlaskie,2021.0,481.0,433.0,79.0
podlaskie,2022.0,360.0,333.0,69.0
dolnośląskie,2011.0,3980.0,2973.0,259.0
dolnośląskie,2012.0,4271.0,3221.0,239.0
dolnośląskie,2013.0,3385.0,2586.0,223.0
dolnośląskie,2014.0,3154.0,2466.0,242.0
dolnośląskie,2015.0,2968.0,2280.0,185.0
dolnośląskie,2016.0,2907.0,2324.0,226.0
dolnośląskie,2017.0,2749.0,2183.0,219.0
dolnośląskie,2018.0,2674.0,2148.0,203.0
dolnośląskie,2019.0,2275.0,1929.0,215.0
dolnośląskie,2020.0,1794.0,1578.0,165.0
dolnośląskie,2021.0,2018.0,1730.0,179.0
dolnośląskie,2022.0,2201.0,1869.0,138.0
podkarpackie,2011.0,2634.0,2110.0,224.0
podkarpackie,2012.0,2258.0,1808.0,184.0
podkarpackie,2013.0,2251.0,1807.0,151.0
podkarpackie,2014.0,2184.0,1751.0,144.0
podkarpackie,2015.0,2120.0,1703.0,136.0
podkarpackie,2016.0,2019.0,1682.0,141.0
podkarpackie,2017.0,2033.0,1710.0,124.0
podkarpackie,2018.0,1775.0,1481.0,125.0
podkarpackie,2019.0,1708.0,1481.0,157.0
podkarpackie,2020.0,1240.0,1167.0,132.0
podkarpackie,2021.0,1444.0,1222.0,95.0
podkarpackie,2022.0,1264.0,1062.0,88.0
małopolskie,2011.0,5427.0,4368.0,313.0
małopolskie,2012.0,4777.0,3903.0,253.0
małopolskie,2013.0,4659.0,3764.0,221.0
małopolskie,2014.0,4805.0,3936.0,234.0
małopolskie,2015.0,4619.0,3839.0,198.0
małopolskie,2016.0,4764.0,3939.0,185.0
małopolskie,2017.0,4310.0,3612.0,194.0
małopolskie,2018.0,4003.0,3404.0,223.0
małopolskie,2019.0,3716.0,3136.0,176.0
małopolskie,2020.0,2563.0,2265.0,157.0
małopolskie,2021.0,2590.0,2239.0,144.0
małopolskie,2022.0,2615.0,2226.0,102.0
pomorskie,2011.0,3729.0,2916.0,222.0
pomorskie,2012.0,3571.0,2766.0,179.0
pomorskie,2013.0,3405.0,2641.0,174.0
pomorskie,2014.0,3476.0,2724.0,181.0
pomorskie,2015.0,3347.0,2675.0,170.0
pomorskie,2016.0,3357.0,2725.0,144.0
pomorskie,2017.0,3253.0,2608.0,134.0
pomorskie,2018.0,3098.0,2504.0,146.0
pomorskie,2019.0,2775.0,2297.0,160.0
pomorskie,2020.0,2236.0,1848.0,169.0
pomorskie,2021.0,2060.0,1776.0,118.0
pomorskie,2022.0,1945.0,1592.0,100.0
warmińsko-mazurskie,2011.0,2107.0,1654.0,179.0
warmińsko-mazurskie,2012.0,2059.0,1607.0,145.0
warmińsko-mazurskie,2013.0,1968.0,1621.0,154.0
warmińsko-mazurskie,2014.0,2052.0,1645.0,148.0
warmińsko-mazurskie,2015.0,1869.0,1535.0,140.0
warmińsko-mazurskie,2016.0,2025.0,1627.0,158.0
warmińsko-mazurskie,2017.0,1734.0,1455.0,118.0
