Year:text,Inland:number,Maritime:number,Rail:number,Road:number
2000,72.9,156.6,,153.71
2001,74.8,153.3,,152.99
2002,75.9,150.0,,149.72
2003,82.7,146.5,,153.43
2004,75.7,140.6,,146.61
2005,75.8,137.4,23.06,145.93
2006,73.6,135.0,21.37,141.73
2007,68.1,136.1,20.66,139.74
2008,65.4,137.6,20.56,139.0
2009,70.8,152.3,19.5,147.37
2010,57.3,143.1,18.22,145.97
2011,60.6,140.0,17.42,145.9
2012,55.2,142.4,17.14,143.89
2013,52.09,141.9,16.76,141.15
2014,50.62,135.83,15.6,139.8
