season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,Pamela Fryman,Carter Bays & Craig Thomas,2005-09-19,1ALH79,10940000.0
1,2,2,Purple Giraffe,Pamela Fryman,Carter Bays & Craig Thomas,2005-09-26,1ALH01,10400000.0
1,3,3,The Sweet Taste of Liberty,Pamela Fryman,Phil Lord & Chris Miller,2005-10-03,1ALH02,10440000.0
1,4,4,Return of the Shirt,Pamela Fryman,Kourtney Kang,2005-10-10,1ALH03,9840000.0
1,5,5,Okay Awesome,Pamela Fryman,Chris Harris,2005-10-17,1ALH04,10140000.0
1,6,6,The Slutty Pumpkin,Pamela Fryman,Brenda Hsueh,2005-10-24,1ALH05,10890000.0
1,7,7,Matchmaker,Pamela Fryman,Chris Marcil & Sam Johnson,2005-11-07,1ALH07,10550000.0
1,8,8,The Duel,Pamela Fryman,Gloria Calderon Kellett,2005-11-14,1ALH06,10350000.0
1,9,9,Belly Full of Turkey,Pamela Fryman,Phil Lord & Chris Miller,2005-11-21,1ALH09,10290000.0
1,10,10,The Pineapple Incident,Pamela Fryman,Carter Bays & Craig Thomas,2005-11-28,1ALH08,12270000.0
1,11,11,The Limo,Pamela Fryman,Sam Johnson & Chris Marcil,2005-12-19,1ALH10,10360000.0
1,12,12,The Wedding,Pamela Fryman,Kourtney Kang,2006-01-09,1ALH11,11490000.0
1,13,13,"Drumroll, Please",Pamela Fryman,Gloria Calderon Kellett,2006-01-23,1ALH12,10820000.0
1,14,14,"Zip, Zip, Zip",Pamela Fryman,Brenda Hsueh,2006-02-06,1ALH13,10940000.0
1,15,15,Game Night,Pamela Fryman,Chris Harris,2006-02-27,1ALH14,9820000.0
1,16,16,Cupcake,Pamela Fryman,Maria Ferrari,2006-03-06,1ALH15,10150000.0
1,17,17,Life Among the Gorillas,Pamela Fryman,Carter Bays & Craig Thomas,2006-03-20,1ALH16,9800000.0
1,18,18,Nothing Good Happens After 2 AM,Pamela Fryman,Carter Bays & Craig Thomas,2006-04-10,1ALH17,7650000.0
1,19,19,Mary the Paralegal,Pamela Fryman,Chris Harris,2006-04-24,1ALH18,7600000.0
1,20,20,Best Prom Ever,Pamela Fryman,Ira Ungerleider,2006-05-01,1ALH19,7240000.0
1,21,21,Milk,Pamela Fryman,Carter Bays & Craig Thomas,2006-05-08,1ALH20,8070000.0
1,22,22,Come On,Pamela Fryman,Carter Bays & Craig Thomas,2006-05-15,1ALH21,8640000.0
2,1,23,Where Were We?,Pamela Fryman,Carter Bays & Craig Thomas,2006-09-18,2ALH01,10480000.0
2,2,24,The Scorpion and the Toad,Rob Greenberg,Chris Harris,2006-09-25,2ALH02,9140000.0
2,3,25,Brunch,Pamela Fryman,Stephen Lloyd,2006-10-02,2ALH03,9320000.0
2,4,26,"Ted Mosby, Architect",Pamela Fryman,Kristin Newman,2006-10-09,2ALH04,9090000.0
2,5,27,World's Greatest Couple,Pamela Fryman,Brenda Hsueh,2006-10-16,2ALH06,9050000.0
2,6,28,Aldrin Justice,Pamela Fryman,Jamie Rhonheimer,2006-10-23,2ALH05,9590000.0
2,7,29,Swarley,Pamela Fryman,Greg Malins,2006-11-06,2ALH07,8220000.000000001
2,8,30,Atlantic City,Pamela Fryman,Maria Ferrari,2006-11-13,2ALH08,9330000.0
2,9,31,Slap Bet,Pamela Fryman,Kourtney Kang,2006-11-20,2ALH09,8850000.0
2,10,32,Single Stamina,Pamela Fryman,Kristin Newman,2006-11-27,2ALH10,9850000.0
2,11,33,How Lily Stole Christmas,Pamela Fryman,Brenda Hsueh,2006-12-11,2ALH12,8810000.0
2,12,34,First Time in New York,Pamela Fryman,Gloria Calderon Kellett,2007-01-08,2ALH11,8369999.999999999
2,13,35,Columns,Rob Greenberg,Matt Kuhn,2007-01-22,2ALH14,9420000.0
2,14,36,Monday Night Football,Rob Greenberg,Carter Bays & Craig Thomas,2007-02-05,2ALH13,10610000.0
2,15,37,Lucky Penny,Pamela Fryman,Jamie Rhonheimer,2007-02-12,2ALH15,9680000.0
2,16,38,Stuff,Pamela Fryman,Kourtney Kang,2007-02-19,2ALH16,8950000.0
2,17,39,"Arrivederci, Fiero",Pamela Fryman,Chris Harris,2007-02-26,2ALH17,9330000.0
2,18,40,Moving Day,Pamela Fryman,Maria Ferrari,2007-03-19,2ALH18,7270000.0
2,19,41,Bachelor Party,Pamela Fryman,Carter Bays & Craig Thomas,2007-04-09,2ALH19,9900000.0
2,20,42,Showdown,Pamela Fryman,Gloria Calderon Kellett,2007-04-30,2ALH20,7240000.0
2,21,43,Something Borrowed,Pamela Fryman,Greg Malins,2007-05-07,2ALH21,7690000.0
2,22,44,Something Blue,Pamela Fryman,Carter Bays & Craig Thomas,2007-05-14,2ALH22,9900000.0
3,1,45,Wait for It,Pamela Fryman,Carter Bays & Craig Thomas,2007-09-24,3ALH01,8119999.999999999
3,2,46,We're Not from Here,Pamela Fryman,Chris Harris,2007-10-01,3ALH02,7880000.0
3,3,47,Third Wheel,Pamela Fryman,David Hemingson,2007-10-08,3ALH04,7960000.0
3,4,48,Little Boys,Rob Greenberg,Kourtney Kang,2007-10-15,3ALH03,7710000.0
3,5,49,How I Met Everyone Else,Pamela Fryman,Gloria Calderon Kellett,2007-10-22,3ALH05,8500000.0
3,6,50,I'm Not That Guy,Pamela Fryman,Jonathan Groff,2007-10-29,3ALH07,8550000.0
3,7,51,Dowisetrepla,Pamela Fryman,Brenda Hsueh,2007-11-05,3ALH06,8770000.0
3,8,52,Spoiler Alert,Pamela Fryman,Stephen Lloyd,2007-11-12,3ALH08,8580000.0
3,9,53,Slapsgiving,Pamela Fryman,Matt Kuhn,2007-11-19,3ALH09,8060000.000000001
