country,BothSexes,Males,Females
Azerbaijan,0.98,1.67,0.32
Tajikistan,0.88,1.49,0.26
Greece,10.5,16.72,4.6
Portugal,12.09,19.51,5.59
Hungary,11.07,17.66,5.24
United Arab Emirates,3.85,4.97,0.87
Belarus,10.96,17.93,5.13
Israel,4.38,6.84,2.02
Togo,2.66,4.25,1.1
Sierra Leone,5.31,9.19,1.47
Austria,11.93,18.42,5.76
Switzerland,11.23,17.18,5.45
Laos,12.08,19.11,5.09
Nicaragua,5.07,8.31,2.02
Serbia,8.85,14.09,3.93
Libya,0.027,0.047,0.007
Paraguay,7.01,10.96,2.94
Kyrgyzstan,4.85,8.38,1.51
Bulgaria,12.46,19.86,5.59
Turkmenistan,3.09,5.26,1.03
El Salvador,4.09,6.91,1.75
Singapore,2,2.92,0.99
Denmark,10.13,15.58,4.8
Central African Republic,1.71,2.76,0.71
Slovakia,11.06,17.26,5.3
Finland,10.65,16.56,4.99
Liberia,5.37,8.58,2.2
Norway,7.14,10.8,3.45
New Zealand,10.69,16.46,5.23
Costa Rica,4.07,6.49,1.68
Lebanon,1.53,2.58,0.49
Ireland,12.75,19.38,6.34
Mauritania,0,0,0
Oman,0.92,1.22,0.23
Panama,7.77,12.23,3.36
Kuwait,0,0,0
Croatia,8.73,13.96,3.99
Eritrea,2.11,3.52,0.73
Georgia,9.47,15.61,4.11
Mongolia,5.9,9.23,2.72
Uruguay,6.92,10.82,3.38
Moldova,12.85,20.61,5.89
Bosnia and Herzegovina,7.81,12.95,2.96
Gambia,3.36,5.73,1.09
Albania,6.82,11.02,2.53
Jamaica,4.16,6.71,1.69
Armenia,4.67,7.7,2.14
Qatar,1.51,1.81,0.38
Botswana,6.61,11.1,2.61
Lithuania,12.78,20.6,6.3
Namibia,3.15,5.3,1.2
Gabon,8.08,12.24,3.7
Lesotho,5.08,8.65,1.67
Guinea-Bissau,5.54,9.32,2.09
Slovenia,12.11,18.68,5.67
North Macedonia,6.43,10.36,2.54
Latvia,13.19,21.61,6.31
Equatorial Guinea,6.92,9.63,3.12
Trinidad and Tobago,6.52,10.24,2.94
Bahrain,1.13,1.54,0.32
Timor-Leste,0.53,0.84,0.21
Estonia,10.75,17.35,5.06
Mauritius,4.78,7.67,2
Cyprus,10.8,16.92,4.76
Eswatini,8.78,14.78,3.26
Djibouti,0.36,0.6,0.093
Fiji,3.68,6.08,1.23
Comoros,1.15,2,0.3
Guyana,5.33,8.57,2.1
Bhutan,0.21,0.33,0.077
Solomon Islands,1.74,2.87,0.59
Luxembourg,12.45,18.74,6.08
Suriname,7.4,11.74,3.1
Montenegro,12.24,19.51,5.3
Malta,8.27,12.88,3.69
Maldives,2.78,3.95,0.57
Brunei,0.46,0.68,0.21
Belize,6.37,10.18,2.65
Bahamas,4.8,7.66,2.16
Iceland,9.21,14.03,4.39
Vanuatu,2.1,3.48,0.73
Barbados,10.37,16.95,4.35
Sao Tome and Principe,5.8,9.15,2.49
Samoa,2.82,4.58,0.93
Saint Lucia,9.59,15.45,3.97
Kiribati,2.32,3.97,0.8
Grenada,8.96,14.25,3.64
Micronesia,2.51,4.14,0.85
Tonga,0.43,0.73,0.15
Seychelles,8.84,13.41,4.02
Saint Vincent and the Grenadines,7.15,11.29,2.87
Antigua and Barbuda,9.4,15.09,4.25
Andorra,12.26,18.58,5.74
Dominica,7.23,11.53,2.9
Saint Kitts and Nevis,6.34,10.01,2.78
Cook Islands,10.94,17.95,4.36
Nauru,4.18,7.07,1.46
Tuvalu,1.31,2.26,0.45
Niue,9.93,16.04,3.77
Total,5.530042378859485,8.800446739729702,2.2982833371976095
