rok;miesiac;punktualnosc na przybyciu (w %);liczba pociagow uruchomionych;liczba pociagow punktualnych;liczba pociagow opoznionych do 5 min 59 s;liczba pociagow opoznionych od 6 min do 59 min 59 s;liczba pociagow opoznionych od 60 min do 119 min 59 s;liczba pociagow opoznionych od 120 min;liczba pociagow odwolanych;sredni czas opoznien (w min);sredni czas opoznien (w min) wylacznie dla opoznien powyzej 5 min 59 s
2019;;92,46%;1716044;1345248;241417;122779;5070;1530;14045;8;21
2020;;94,62%;1581087;1300490;195473;80432;3630;1049;18508;9;21
2021;;90,11%;1741157;1215490;353476;162825;7160;2206;17058;9;21
2022;;88,62%;1823322;1216253;399647;193411;9755;4256;18609;10;25
2019;styczen;91,42%;146639;112061;21991;11942;505;140;1439;9;21
2019;luty;94,34%;132798;108457;16825;7190;242;84;795;8;20
2019;marzec;93,55%;144832;118050;17435;8852;350;145;1015;9;22
2019;kwiecien;94,00%;140002;115199;16404;7939;339;121;713;9;21
2019;maj;93,54%;143484;115460;18760;8842;341;81;933;8;22
2019;czerwiec;90,92%;137838;105072;20257;11806;539;164;1894;10;19
2019;lipiec;92,18%;151351;117993;21515;11143;553;147;1232;9;21
2019;sierpien;92,47%;149718;117623;20822;10480;617;176;1362;10;23
2019;wrzesien;91,98%;139960;107443;21288;10682;442;105;1068;9;20
2019;pazdziernik;89,46%;147027;106710;24825;14857;495;140;1099;9;20
2019;listopad;92,76%;137855;107078;20796;9537;320;124;1169;8;20
2019;grudzien;93,12%;144540;114102;20499;9509;327;103;1326;8;20
2020;styczen;93,95%;148923;120339;19571;8511;397;105;1135;9;21
2020;luty;94,28%;139449;113532;17946;7484;383;104;1290;9;22
2020;marzec;95,94%;131109;112676;13110;5004;231;88;3004;8;22
2020;kwiecien;98,00%;95573;87155;6507;1786;98;27;2509;7;22
2020;maj;97,70%;102086;91907;7829;2198;120;32;2389;7;22
2020;czerwiec;94,56%;117343;97095;13866;6032;267;83;2052;9;21
2020;lipiec;94,33%;139927;114404;17575;7525;296;114;991;8;21
2020;sierpien;93,64%;138606;111794;18001;8358;352;101;1013;9;21
2020;wrzesien;93,83%;140942;112845;19398;8271;319;109;912;8;20
2020;pazdziernik;93,35%;145887;115812;20367;9030;526;152;1454;9;23
2020;listopad;94,68%;138348;112411;18574;6991;309;63;923;8;20
2020;grudzien;93,25%;142894;110520;22729;9242;332;71;836;8;20
2021;styczen;90,09%;140169;103299;22983;12726;843;318;1546;11;26
2021;luty;87,77%;131988;89837;26012;15150;798;191;2369;10;22
2021;marzec;93,27%;149399;113124;26224;9636;355;60;1028;7;19
2021;kwiecien;94,01%;140085;107178;24515;8102;233;57;873;6;18
2021;maj;92,62%;143703;106273;26830;10053;456;91;1126;8;20
2021;czerwiec;89,48%;142928;98132;29761;14200;605;230;1318;9;22
2021;lipiec;86,73%;153188;100941;31922;19023;923;379;1485;11;23
2021;sierpien;89,08%;152501;103978;31872;15839;648;164;1734;9;20
2021;wrzesien;90,37%;145880;101355;30480;13444;487;114;1443;8;20
2021;pazdziernik;89,97%;148233;100263;33102;13921;688;259;1298;9;23
2021;listopad;89,30%;142130;92117;34807;14598;470;138;1099;8;19
2021;grudzien;88,74%;150953;98993;34968;16133;654;205;1739;9;21
2022;styczen;91,61%;151806;109859;29213;11888;619;227;1219;9;23
2022;luty;91,97%;140513;103420;25804;10214;652;423;1643;11;30
2022;marzec;89,60%;155849;107519;32129;14179;1016;1006;2625;17;45
2022;kwiecien;91,70%;144761;104754;27993;11187;595;232;3261;9;25
2022;maj;90,36%;151765;105599;31537;13683;655;291;2449;9;24
2022;czerwiec;87,22%;148688;96482;33198;17679;989;340;2182;11;24
2022;lipiec;85,24%;156531;98366;35057;21383;1297;428;2723;11;24
2022;sierpien;86,53%;158648;101796;35477;19951;1045;379;1563;11;24
2022;wrzesien;89,94%;154906;104494;34822;14933;505;152;942;8;19
2022;pazdziernik;87,89%;154571;97140;38719;17952;548;212;1747;8;20
2022;listopad;88,20%;149452;94507;37314;16805;624;202;836;8;20
2022;grudzien;83,87%;155832;92317;38384;23557;1210;364;1875;11;23
2023;styczen;90,70%;158062;107757;35603;13852;671;179;1066;8;21
2023;luty;90,96%;145709;100110;32434;12526;513;126;1023;8;20
2023;marzec;91,16%;162539;112363;35802;13650;580;144;1316;8;20
2023;kwiecien;92,43%;151867;108795;31573;11034;366;99;638;7;19
2023;maj;91,84%;157412;110566;33995;12265;459;127;1131;7;20
2023;czerwiec;89,14%;155022;102783;35405;16087;562;185;1270;9;21
2023;lipiec;89,71%;162055;109560;35827;15772;681;215;1873;9;22
2023;sierpien;88,11%;162407;107096;36002;18083;923;303;2403;10;23
2023;wrzesien;90,99%;156154;106325;35754;13454;506;115;1988;8;20
2023;pazdziernik;90,99%;156154;106325;36309;16294;541;167;1549;8;20
2023;listopad;90,99%;156154;106325;35310;17250;712;234;966;8;20
2023;grudzien;90,99%;156154;106325;39823;21320;1009;256;1692;8;20
