,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Europe,Western Europe,Belgium,WHO Adjusted/UNSDC/Eurostat/MoI/CTS,424,564,638,230,268,221,221,211,332,334,526.000000000001,619,635,611,567.000000000001,744,394,515,393,291,166,250,6.22,8.24,9.27,4.44,5.13,4.22,4.20,3.98,19.64,21.74,22.88,26.86,21.58,25.10,21.72,28.40,22.11,22.10,19.78,12.68,14.10,3.25
Americas,Latin America and the Caribbean,Belize,Computed/CTS/Mol/OAS,41,64,87,67,158,81,92,97,103,194,258,248,290,198,647,1160,1562,1355,1391,1100,1185,1173,17.05,25.80,33.99,25.38,86.85,28.89,31.86,32.64,33.70,92.57,120.08,112.75,128.84,85.97,451.26,1174.22,1433.59,1006.21,987.69,385.45,982.48,1036.34
Americas,Northern America,Bermuda,UNSDC/NP/CTS/External/GSH 2023 Revision,0,3,1,4,2,5,6,3,5,16,40,38,30,43,30,30,47,40,9,4,10,11,0.00,4.86,1.61,6.40,4.70,11.29,9.51,4.75,7.90,35.09,144.96,106.12,101.72,270.17,170.30,239.65,470.72,88.36,14.16,6.27,15.62,17.14
Asia,Southern Asia,Bhutan,NSO/CTS/SDG,18,19,19,5,15,11,9,14,18,16,16,32,33,24,,119,91,101,69,91,221,,3.07,3.15,3.07,0.79,2.31,1.66,1.34,2.05,2.61,2.29,2.27,4.49,4.58,3.29,,51.38,39.46,18.76,12.38,39.62,108.89,
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),OAS/GSH 2023 Revision/CTS/Computed,,,,,,,,,828.000000000001,,,,,,,4526,6520,7934,5939,5311,4476,3498,,,,,,,,,16.67,,,,,,,95.43,142.76,153.97,144.54,139.09,107.13,109.76
Europe,Southern Europe,Bosnia and Herzegovina,UNECE/Interpol/CTS/SDG/GSH 2023 Revision,198,164,180,,68,,,66,181,246,368,272,401,469,380,362,313,269,262,482,595,437,7.18,5.89,6.48,,1.64,,,1.65,4.59,8.23,22.85,12.13,24.39,42.13,34.96,25.47,21.77,9.67,18.54,40.57,52.81,30.74
Africa,Sub-Saharan Africa,Botswana,CTS/WHO/NP,,213,255,312,259,291,261,280,281,289,303,,,,3,,,,,,573,583,,12.09,14.21,17.08,13.93,15.37,13.53,14.24,14.00,14.10,14.49,,,,0.13,,,,,,31.43,30.25
Americas,Latin America and the Caribbean,Brazil,CTS/DATASUS/MD Adjusted,90718,95858,99367,102104,96763,95157,98267,95413,100204,102857,104532,104399,112702,113585,119516,116616,122511,127469,114321,90241,229240,,77.77,81.12,83.06,84.38,79.08,76.92,78.60,75.55,78.58,79.91,80.47,79.63,85.21,85.15,88.80,85.89,89.57,92.53,81.72,63.97,588.43,
Americas,Latin America and the Caribbean,British Virgin Islands,MD,,2,2,4,8,,4,,,,,,,,,,,,,,,,,14.29,13.91,27.30,52.70,,24.67,,,,,,,,,,,,,,,
Asia,South-eastern Asia,Brunei Darussalam,WHO/MD,8,,,3,2,2,3,3,1,3,1,1,4,2,,,,,,,,,3.60,,,0.85,0.55,0.55,0.80,0.79,0.26,0.77,0.25,0.25,0.98,0.49,,,,,,,,
