"freq,unit,vehicle,geo\TIME_PERIOD",1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,NR,ANI_RD,BE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,2 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,2 ,1 
"A,NR,ANI_RD,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9 ,7 ,12 ,5 ,3 ,5 ,6 ,5 ,6 ,6 ,3 ,2 ,: 
"A,NR,ANI_RD,DK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,: ,1 ,2 ,0 
"A,NR,ANI_RD,EE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: 
"A,NR,ANI_RD,EU27_2020",: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,0 ,16 ,21 ,22 ,7 ,9 ,16 ,10 ,9 ,8 ,11 ,5 ,7 p,1 p
"A,NR,ANI_RD,HR",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 ,0 ,: ,: ,0 
"A,NR,ANI_RD,HU",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,6 ,5 ,0 ,2 ,2 ,3 ,1 ,1 ,3 ,1 ,1 ,0 
"A,NR,ANI_RD,IS",: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,0 ,: ,: ,: ,: ,: 
"A,NR,ANI_RD,IT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,2 ,0 ,1 ,2 ,1 ,1 ,0 ,1 ,0 ,0 ,0 
"A,NR,ANI_RD,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 ,: ,: ,: 
"A,NR,ANI_RD,LV",: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,0 ,2 ,: ,: ,0 ,1 ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,ANI_RD,MT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,0 ,: ,: ,: 
"A,NR,ANI_RD,NO",: ,: ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,: ,0 ,0 ,: ,0 
"A,NR,ANI_RD,PT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,1 ,1 ,1 ,5 ,0 ,2 ,1 ,0 ,0 ,0 ,0 
"A,NR,ANI_RD,SE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 
"A,NR,ANI_RD,UK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,4 ,4 ,2 ,1 ,0 ,0 ,0 ,3 ,: ,: ,: ,: 
"A,NR,BIKE,AT",68 ,62 ,55 ,80 ,56 ,58 ,47 ,48 ,37 ,62 ,39 ,32 ,42 ,52 ,52 ,45 ,39 ,48 ,32 ,24 ,22 ,19 ,26 ,20 
"A,NR,BIKE,BE",122 ,134 ,130 ,105 ,110 ,79 ,71 ,92 ,90 ,86 ,89 ,73 ,74 ,84 ,83 ,82 ,90 ,81 ,76 ,89 ,95 ,85 ,86 ,100 
