DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2013,20,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2014,39,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2015,60,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2016,42,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2017,62,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2018,58,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2019,45,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2020,35,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2021,75,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Bulgaria,2022,32,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2001,71,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2002,76,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2003,58,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2004,51,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2005,25,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2006,31,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2007,47,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2008,27,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2009,34,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2010,23,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2011,22,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2012,63,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2013,23,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2014,12,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2015,21,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2016,19,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2017,25,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2018,19,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2019,24,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2020,18,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2021,15,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Switzerland,2022,21,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2005,13,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2006,9,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2007,13,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2008,7,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2009,7,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2010,8,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2011,7,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2012,3,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2013,2,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2014,3,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2015,6,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2016,1,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2017,5,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2018,8,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2019,3,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2020,4,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2021,5,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Cyprus,2022,3,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Czechia,1999,44,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Czechia,2000,45,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Czechia,2001,43,
ESTAT:TRAN_SF_ROADRO(1.0),12/04/24 11:00:00,Annual,Number,Motorways,Czechia,2002,53,
